name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
"Suter, Brent",608718,2023,292,209,0.249,0.23,0.019,0.341,0.316,0.025,0.294,0.279,0.015,3.38,3.23,0.145
"Cuas, Jose",621016,2023,292,179,0.253,0.256,-0.003,0.406,0.448,-0.042,0.339,0.354,-0.015,4,5.44,-1.445
"Santos, Gregory",666619,2023,289,201,0.258,0.245,0.013,0.318,0.314,0.004,0.283,0.276,0.007,3.39,3.16,0.232
"Teheran, Julio",527054,2023,288,221,0.254,0.272,-0.018,0.466,0.471,-0.005,0.324,0.339,-0.015,4.39,4.93,-0.535
"Finnegan, Kyle",640448,2023,288,200,0.254,0.265,-0.011,0.423,0.444,-0.021,0.32,0.333,-0.013,3.76,4.73,-0.966
"Lange, Alex",656638,2023,288,157,0.185,0.206,-0.021,0.315,0.311,0.004,0.294,0.305,-0.011,3.68,3.9,-0.218
"Abreu, Bryan",650556,2023,287,153,0.177,0.194,-0.017,0.286,0.336,-0.05,0.255,0.279,-0.024,1.75,3.23,-1.48
"Payamps, Joel",606303,2023,287,187,0.219,0.227,-0.008,0.342,0.345,-0.003,0.272,0.279,-0.007,2.55,3.23,-0.683
"Thompson, Zack",668868,2023,287,188,0.27,0.257,0.013,0.422,0.419,0.003,0.329,0.329,0,4.48,4.61,-0.133
"Díaz, Alexis",664747,2023,286,154,0.186,0.192,-0.006,0.28,0.289,-0.009,0.279,0.286,-0.007,3.07,3.4,-0.326
"Rodón, Carlos",607074,2023,286,189,0.261,0.253,0.008,0.498,0.471,0.027,0.357,0.351,0.006,6.86,5.34,1.515
"Hicks, Jordan",663855,2023,285,168,0.231,0.21,0.021,0.332,0.308,0.024,0.296,0.282,0.014,3.29,3.3,-0.011
"Harris, Hogan",663687,2023,284,196,0.269,0.257,0.012,0.47,0.461,0.009,0.352,0.345,0.007,7.14,5.13,2.013
